,intitule,rome,score,X1,X2,cluster
162,Pose de revêtements rigides,F1608,,-57.6821588894242,-30.3061868883573,12
163,Pose de revêtements souples,F1609,,-54.39314642503879,-26.539057636276002,50
164,Pose et restauration de couvertures,F1610,,-57.303684055047206,-16.2375716336322,49
165,Réalisation et restauration de façades,F1611,,-58.011874937194605,-21.8914918077746,50
166,Taille et décoration de pierres,F1612,,-50.1633286543439,-41.304354643010605,10
167,Travaux d'étanchéité et d'isolation,F1613,,-57.06397983800839,-20.8979478250148,50
168,Construction en béton,F1701,,-59.56024118821939,-16.641789111152,49
169,Construction de routes et voies,F1702,,-58.896293722284696,-17.0621131386855,49
170,Maçonnerie,F1703,,-57.11646554417771,-15.0939531184954,49
171,Préparation du gros oeuvre et des travaux publics,F1704,,-60.47585646823521,-15.424513747908401,49
172,Pose de canalisations,F1705,,-51.399543922210206,-14.934377027206098,52
173,Préfabrication en béton industriel,F1706,,-54.1356129490727,-21.223495360258102,50
174,Accueil touristique,G1101,,-11.500237514835101,3.80014799689296,53
175,Promotion du tourisme local,G1102,,20.3429306760404,23.2343117062295,36
176,"Accompagnement de voyages, d'activités culturelles ou sportives",G1201,,-21.473945312929303,28.1709721132555,54
177,Animation d'activités culturelles ou ludiques,G1202,,-10.4057163243189,65.0891750353973,55
178,Animation de loisirs auprès d'enfants ou d'adolescents,G1203,,-18.0352798204471,19.4509170929143,56
179,Éducation en activités sportives,G1204,,-26.9783441697702,19.914297548199198,5
180,Personnel d'attractions ou de structures de loisirs,G1205,,-20.8771173319201,17.13065672513,56
181,Personnel technique des jeux,G1206,,-19.699213234725498,28.1069168484022,54
182,Conception de produits touristiques,G1301,,20.779903329553896,23.8716710009688,36
183,Optimisation de produits touristiques,G1302,,-9.36422588332543,3.95765427781796,53
184,Vente de voyages,G1303,,-10.134975795256699,3.93466179946164,53
185,Assistance de direction d'hôtel-restaurant,G1401,,12.315842866087802,30.6178075247929,37
186,Management d'hôtel-restaurant,G1402,,16.127683457528,27.908262313993802,37
187,Gestion de structure de loisirs ou d'hébergement touristique,G1403,,9.164360109273712,18.1166758011518,57
188,Management d'établissement de restauration collective,G1404,,14.863838675023699,28.843814728945304,37
189,Personnel d'étage,G1501,,-63.4201760398776,5.2508796109207,58
190,Personnel polyvalent d'hôtellerie,G1502,,-62.7506188911475,6.17268824528975,58
191,Management du personnel d'étage,G1503,,4.4290132275747,12.6246943106866,27
192,Management du personnel de cuisine,G1601,,23.418184190847896,78.5381189723453,7
193,Personnel de cuisine,G1602,,22.118239545865897,79.7833739091158,7
194,Personnel polyvalent en restauration,G1603,,15.537380993861499,69.8205878568429,28
195,Fabrication de crêpes ou pizzas,G1604,,18.2357081251775,74.839598508925,7
196,Plonge en restauration,G1605,,14.142525787159801,69.71790072400661,28
197,Conciergerie en hôtellerie,G1701,,-17.37872154475,28.275408973814503,54
198,Personnel du hall,G1702,,-16.732730748203,27.940396642543302,54
199,Réception en hôtellerie,G1703,,15.885417790770001,22.8029072159167,36
200,"Café, bar brasserie",G1801,,16.5674253033793,71.9122964515783,28
201,Management du service en restauration,G1802,,18.0243550511105,64.3432322397437,8
